Time,Air Density,Wind Speed ,Power Generation ,timestamp
1,1.282,0.955,0.02,2019-03-01 00:00:00
2,1.27,0.881,0.01,2019-03-01 01:00:00
3,1.26,1.627,1.825,2019-03-01 02:00:00
4,1.253,2.421,26.87,2019-03-01 03:00:00
5,1.249,3.45,165.285,2019-03-01 04:00:00
6,1.247,3.856,256.575,2019-03-01 05:00:00
7,1.246,3.459,167.25,2019-03-01 06:00:00
8,1.246,2.411,26.252,2019-03-01 07:00:00
9,1.249,1.757,3.132,2019-03-01 08:00:00
10,1.252,3.97,288.802,2019-03-01 09:00:00
11,1.255,5.964,1090.1,2019-03-01 10:00:00
12,1.257,7.002,1706.339,2019-03-01 11:00:00
13,1.259,7.827,2265.66,2019-03-01 12:00:00
14,1.261,8.336,2613.11,2019-03-01 13:00:00
15,1.263,8.47,2701.388,2019-03-01 14:00:00
16,1.265,7.833,2269.457,2019-03-01 15:00:00
17,1.268,7.785,2235.049,2019-03-01 16:00:00
18,1.27,7.911,2319.061,2019-03-01 17:00:00
19,1.272,7.589,2097.895,2019-03-01 18:00:00
20,1.274,7.106,1775.121,2019-03-01 19:00:00
21,1.275,6.363,1310.628,2019-03-01 20:00:00
22,1.276,5.321,772.808,2019-03-01 21:00:00
23,1.277,4.266,371.688,2019-03-01 22:00:00
24,1.276,3.481,171.821,2019-03-01 23:00:00
25,1.268,3.057,94.686,2019-03-02 00:00:00
26,1.254,3.205,119.588,2019-03-02 01:00:00
27,1.242,3.787,239.267,2019-03-02 02:00:00
28,1.234,4.756,537.777,2019-03-02 03:00:00
29,1.229,6.193,1214.906,2019-03-02 04:00:00
30,1.225,7.634,2130.833,2019-03-02 05:00:00
31,1.224,8.566,2769.598,2019-03-02 06:00:00
32,1.224,7.024,1718.964,2019-03-02 07:00:00
33,1.227,5.284,756.818,2019-03-02 08:00:00
34,1.23,6.238,1242.277,2019-03-02 09:00:00
35,1.233,8.159,2489.892,2019-03-02 10:00:00
36,1.237,8.585,2782.208,2019-03-02 11:00:00
37,1.24,8.816,2931.979,2019-03-02 12:00:00
38,1.243,8.373,2635.805,2019-03-02 13:00:00
39,1.245,8.292,2581.996,2019-03-02 14:00:00
40,1.249,9.233,3199.718,2019-03-02 15:00:00
41,1.253,9.778,3517.046,2019-03-02 16:00:00
42,1.257,9.618,3426.844,2019-03-02 17:00:00
43,1.261,8.821,2935.535,2019-03-02 18:00:00
44,1.264,7.714,2183.002,2019-03-02 19:00:00
45,1.268,6.92,1657.443,2019-03-02 20:00:00
46,1.272,6.405,1333.342,2019-03-02 21:00:00
47,1.274,6.381,1319.496,2019-03-02 22:00:00
48,1.273,6.575,1438.796,2019-03-02 23:00:00
49,1.265,6.72,1525.37,2019-03-03 00:00:00
50,1.254,6.844,1605.786,2019-03-03 01:00:00
51,1.242,7.048,1734.367,2019-03-03 02:00:00
52,1.235,6.954,1676.45,2019-03-03 03:00:00
53,1.231,6.966,1683.756,2019-03-03 04:00:00
54,1.229,6.854,1613.033,2019-03-03 05:00:00
55,1.228,6.289,1266.209,2019-03-03 06:00:00
56,1.229,4.116,328.501,2019-03-03 07:00:00
57,1.232,2.22,15.729,2019-03-03 08:00:00
58,1.235,3.178,113.604,2019-03-03 09:00:00
59,1.238,3.557,185.929,2019-03-03 10:00:00
60,1.241,3.778,237.007,2019-03-03 11:00:00
61,1.243,3.976,288.957,2019-03-03 12:00:00
62,1.245,3.935,277.046,2019-03-03 13:00:00
63,1.246,3.682,214.11,2019-03-03 14:00:00
64,1.248,3.552,184.843,2019-03-03 15:00:00
65,1.251,3.624,202.741,2019-03-03 16:00:00
66,1.254,3.869,261.673,2019-03-03 17:00:00
67,1.256,4.194,349.905,2019-03-03 18:00:00
68,1.259,4.508,449.776,2019-03-03 19:00:00
69,1.262,4.855,575.232,2019-03-03 20:00:00
70,1.264,5.166,701.478,2019-03-03 21:00:00
71,1.265,5.472,838.339,2019-03-03 22:00:00
72,1.265,5.717,958.568,2019-03-03 23:00:00
73,1.259,5.925,1064.55,2019-03-04 00:00:00
74,1.246,6.033,1126.067,2019-03-04 01:00:00
75,1.238,6.066,1140.568,2019-03-04 02:00:00
76,1.233,6.099,1162.842,2019-03-04 03:00:00
77,1.23,6.047,1133.52,2019-03-04 04:00:00
