Time,Temperature©,Humidity,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),hour,day,month,weekday,is_weekend,sin_hour,cos_hour,radiation_ratio,radiation_change,temp_squared,temp_derating,pv_lag_1,pv_lag_3,pv_roll_mean_3,pv_roll_std_3,pv_ramp_rate,pv_per_wm2,pv_efficiency,PV Generation (KW)
-0.5533468378860925,-1.4925080600170126,-0.9271104599733747,-0.3551355834523617,-0.22806337453247605,-0.5067803990640681,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,1.225656521282983,-0.7064193206210734,-0.5790186919605655,0.0001405863758167104,0.9334770516582321,-0.1188267123399231,-0.518910577451929,-0.518968861843952,-0.5398594419371299,-0.18789645013915485,0.570392194160677,-0.5289796405024156,0.27839818800450766,257.69
-0.5517641315299023,-1.4318291035406372,-0.9271104599733747,-0.05127594856245475,0.13502093158400535,-0.362287890183148,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,1.0009004483118633,-0.9992981117389499,-0.295039004724925,0.9953188529195975,0.7542970805915163,-0.1188267123399231,-0.518910577451929,-0.518968861843952,-0.4334516579560418,-0.18789645013915485,0.570392194160677,-0.43734257087624634,0.27839818800450766,530.391
-0.5501814251737123,-1.3610027057552179,-0.9271104599733747,0.14897978736786063,0.36149593917616946,-0.21779538130222792,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,0.7079926313157505,-1.2240319123703491,-0.1675951366207931,0.6560031402184365,0.5554664673419193,-0.1188267123399231,-0.31435163173354363,-0.518968861843952,-0.30937460172162756,0.12438047792445796,0.7124656118361127,-0.23437341633056893,0.27839818800450766,871.016
-0.5485987188175221,-1.3136936888414332,-0.9271104599733747,0.19524962216043643,0.43577867652820956,-0.07330287242130783,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,0.3668942539698762,-1.3653054853924065,-0.20644547243895206,0.1516800759787254,0.4288449247777185,-0.1188267123399231,-0.05884141767006362,-0.518968861843952,-0.09356464307415537,0.052002841910578745,0.45239579066081903,-0.05602726294058322,0.27839818800450766,1087.304
-0.5470160124613319,-1.276463549444064,-0.9271104599733747,0.11066620129587804,0.35280707439341547,0.07118963645961227,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,0.0008506069986392471,-1.4134912702692874,-0.29065094425301785,-0.27688068426723,0.33268455590256724,-0.1188267123399231,0.10340091092989818,-0.3144043535724536,0.031239354761341286,-0.41492397127747416,-0.16135995137323145,-0.03050654810687098,0.27839818800450766,1010.161
-0.5454333061051418,-1.2561686668259766,-0.9271104599733747,-0.10989137317447756,0.11823701655927392,0.21568214534053234,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,-0.36519303997259767,-1.3653054853924067,-0.5214270079173862,-0.722213025067294,0.28155843525261603,-0.1188267123399231,0.045534270361827514,-0.058887191442578264,-0.023240814642089103,-0.09514910026040803,-0.7291056090688064,-0.1612686269973024,0.27839818800450766,661.584
-0.5438505997489517,-1.2731724873978876,-0.9271104599733747,-0.40678985841278614,-0.2519384470553608,0.36017465422145245,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,-0.7062914173184722,-1.2240319123703494,-0.8740466220002228,-0.9722390453774645,0.3243318656084147,-0.1188267123399231,-0.21594091169352855,0.10335954899851242,-0.2252998840518386,0.24037612672509645,-0.7342427080884588,-0.26500078871219285,0.27839818800450766,310.551
-0.5422678933927616,-1.334948464556322,-0.9271104599733747,-0.6811282209225138,-0.6810160525622785,0.5046671631023726,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,-0.9991992343145848,-0.9992981117389506,-1.4533832805322224,-0.8983518249239203,0.48511963892746074,-0.1188267123399231,-0.47925839271619447,0.045491334868061006,-0.4826928792918396,0.1615993657439742,-0.6062837628008954,-0.7900431731115639,0.27839818800450766,20.694
-0.5406851870365714,-1.3970672606778998,-0.9271104599733747,-0.7308195607331402,-0.7852691157279553,0.6491596719832926,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,-1.2239553072857048,-0.7064193206210744,0.04151229930588416,-0.16260475962216137,0.6553220702262309,-0.1188267123399231,-0.6966864268234917,-0.21599095745853147,-0.6547926940030537,-0.2402714795943044,-0.0432882483763423,-0.1393342474447701,0.27839818800450766,0.0
-0.5391024806803812,-1.4198304398306194,-0.9271104599733747,-0.7308195607331402,-0.7852691157279553,0.7936521808642127,-1.6764150960116349,-1.6053634819689977,-0.9981735144570326,-0.6316462475921049,-1.3652428812858222,-0.3653547446263164,0.04151229930588416,0.0001405863758167104,0.7198316604582768,-0.1188267123399231,-0.7122094458908814,-0.4793155988499048,-0.7355772497939771,-0.6813852601091829,-3.587499841079016e-06,-0.1393342474447701,0.27839818800450766,0.0
