Time,Air Density,Wind Speed ,Power Generation ,timestamp
1,1.318,8.285,2578.96,2019-12-01 00:00:00
2,1.314,7.99,2379.431,2019-12-01 01:00:00
3,1.309,7.685,2162.803,2019-12-01 02:00:00
4,1.304,7.547,2068.773,2019-12-01 03:00:00
5,1.302,7.058,1740.835,2019-12-01 04:00:00
6,1.3,6.59,1444.972,2019-12-01 05:00:00
7,1.3,6.048,1134.929,2019-12-01 06:00:00
8,1.301,5.632,915.033,2019-12-01 07:00:00
9,1.303,5.961,1088.558,2019-12-01 08:00:00
10,1.304,6.117,1168.477,2019-12-01 09:00:00
11,1.305,6.332,1295.209,2019-12-01 10:00:00
12,1.305,6.082,1153.452,2019-12-01 11:00:00
13,1.306,5.476,840.221,2019-12-01 12:00:00
14,1.307,4.979,623.817,2019-12-01 13:00:00
15,1.307,4.607,483.827,2019-12-01 14:00:00
16,1.308,4.01,297.279,2019-12-01 15:00:00
17,1.308,3.932,276.157,2019-12-01 16:00:00
18,1.309,3.996,293.517,2019-12-01 17:00:00
19,1.309,4.279,378.396,2019-12-01 18:00:00
20,1.31,4.633,496.556,2019-12-01 19:00:00
21,1.31,4.952,613.053,2019-12-01 20:00:00
22,1.311,4.891,589.266,2019-12-01 21:00:00
23,1.312,4.824,563.397,2019-12-01 22:00:00
24,1.312,4.637,497.716,2019-12-01 23:00:00
25,1.311,4.574,472.27,2019-12-02 00:00:00
26,1.308,4.787,552.857,2019-12-02 01:00:00
27,1.305,4.383,411.338,2019-12-02 02:00:00
28,1.303,4.105,324.023,2019-12-02 03:00:00
29,1.302,4.104,323.706,2019-12-02 04:00:00
30,1.302,4.273,374.569,2019-12-02 05:00:00
31,1.303,4.569,470.758,2019-12-02 06:00:00
32,1.305,4.936,606.902,2019-12-02 07:00:00
33,1.308,5.574,891.081,2019-12-02 08:00:00
34,1.311,6.045,1131.664,2019-12-02 09:00:00
35,1.313,6.868,1622.735,2019-12-02 10:00:00
36,1.315,7.698,2171.685,2019-12-02 11:00:00
37,1.317,8.158,2489.88,2019-12-02 12:00:00
38,1.319,8.224,2533.748,2019-12-02 13:00:00
39,1.321,8.075,2434.18,2019-12-02 14:00:00
40,1.323,7.583,2097.784,2019-12-02 15:00:00
41,1.325,7.318,1913.563,2019-12-02 16:00:00
42,1.326,7.398,1974.085,2019-12-02 17:00:00
43,1.328,7.609,2111.582,2019-12-02 18:00:00
44,1.33,7.692,2167.974,2019-12-02 19:00:00
45,1.332,7.343,1932.583,2019-12-02 20:00:00
46,1.335,7.068,1747.804,2019-12-02 21:00:00
47,1.337,6.964,1683.69,2019-12-02 22:00:00
48,1.34,6.758,1554.879,2019-12-02 23:00:00
49,1.341,6.738,1542.024,2019-12-03 00:00:00
50,1.34,6.836,1600.388,2019-12-03 01:00:00
51,1.338,7.093,1766.288,2019-12-03 02:00:00
52,1.337,7.065,1745.992,2019-12-03 03:00:00
53,1.337,7.179,1821.44,2019-12-03 04:00:00
54,1.337,7.206,1838.907,2019-12-03 05:00:00
55,1.339,7.734,2199.015,2019-12-03 06:00:00
56,1.341,8.032,2407.263,2019-12-03 07:00:00
57,1.344,8.626,2806.005,2019-12-03 08:00:00
58,1.347,9.185,3171.044,2019-12-03 09:00:00
