Date - Time ,Time,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW)
2019-09-01 00:00:00,1,11.281,0.009,0.0,0.0,0.0
2019-09-01 01:00:00,2,10.447,0.009,0.0,0.0,0.0
2019-09-01 02:00:00,3,9.97,0.009,0.0,0.0,0.0
2019-09-01 03:00:00,4,9.942,0.009,0.0,0.0,0.0
2019-09-01 04:00:00,5,9.962,0.009,2.222,7.152,0.0
2019-09-01 05:00:00,6,11.849,0.009,65.125,156.73,951.663
2019-09-01 06:00:00,7,14.133,0.009,197.159,384.867,1809.507
2019-09-01 07:00:00,8,15.898,0.01,352.22,597.137,2240.897
2019-09-01 08:00:00,9,17.687,0.01,489.179,778.918,2548.483
2019-09-01 09:00:00,10,19.519,0.01,597.534,917.798,2802.475
2019-09-01 10:00:00,11,20.736,0.01,652.827,1004.287,2955.713
2019-09-01 11:00:00,12,21.511,0.01,653.62,1032.466,3096.007
2019-09-01 12:00:00,13,21.723,0.011,612.812,1000.399,2746.238
2019-09-01 13:00:00,14,21.319,0.011,533.699,910.227,1989.561
2019-09-01 14:00:00,15,20.496,0.011,423.133,768.098,1251.729
2019-09-01 15:00:00,16,19.274,0.011,295.945,583.66,471.321
2019-09-01 16:00:00,17,18.06,0.012,163.225,369.465,111.503
2019-09-01 17:00:00,18,17.003,0.012,50.649,141.343,5.963
2019-09-01 18:00:00,19,15.865,0.011,1.536,6.274,0.0
2019-09-01 19:00:00,20,15.246,0.011,0.0,0.0,0.0
2019-09-01 20:00:00,21,14.682,0.01,0.0,0.0,0.0
2019-09-01 21:00:00,22,14.038,0.01,0.0,0.0,0.0
2019-09-01 22:00:00,23,13.302,0.01,0.0,0.0,0.0
2019-09-01 23:00:00,24,12.798,0.01,0.0,0.0,0.0
2019-09-02 00:00:00,25,12.174,0.009,0.0,0.0,0.0
2019-09-02 01:00:00,26,11.515,0.009,0.0,0.0,0.0
2019-09-02 02:00:00,27,10.865,0.009,0.0,0.0,0.0
2019-09-02 03:00:00,28,10.254,0.009,0.0,0.0,0.0
2019-09-02 04:00:00,29,9.682,0.009,1.478,6.061,0.0
2019-09-02 05:00:00,30,10.106,0.009,62.094,150.74,544.0
2019-09-02 06:00:00,31,11.403,0.009,207.22,379.102,1709.084
2019-09-02 07:00:00,32,13.487,0.009,378.321,591.684,3147.57
2019-09-02 08:00:00,33,16.533,0.009,530.126,773.718,3607.18
2019-09-02 09:00:00,34,18.816,0.009,647.804,912.786,3706.575
2019-09-02 10:00:00,35,20.065,0.009,722.397,999.4,3670.631
2019-09-02 11:00:00,36,20.638,0.009,749.026,1027.624,3548.165
2019-09-02 12:00:00,37,20.802,0.009,715.537,995.495,3351.948
2019-09-02 13:00:00,38,20.642,0.009,633.754,905.198,3048.82
2019-09-02 14:00:00,39,20.229,0.009,512.313,762.871,2660.137
2019-09-02 15:00:00,40,19.477,0.009,351.985,578.17,1980.429
2019-09-02 16:00:00,41,18.409,0.01,193.783,363.66,1549.472
2019-09-02 17:00:00,42,15.902,0.011,56.377,135.565,699.627
2019-09-02 18:00:00,43,13.718,0.009,1.237,5.277,0.0
2019-09-02 19:00:00,44,13.095,0.009,0.0,0.0,0.0
2019-09-02 20:00:00,45,12.748,0.009,0.0,0.0,0.0
2019-09-02 21:00:00,46,12.535,0.009,0.0,0.0,0.0
2019-09-02 22:00:00,47,12.44,0.009,0.0,0.0,0.0
2019-09-02 23:00:00,48,12.444,0.009,0.0,0.0,0.0
2019-09-03 00:00:00,49,12.353,0.008,0.0,0.0,0.0
2019-09-03 01:00:00,50,12.229,0.008,0.0,0.0,0.0
2019-09-03 02:00:00,51,12.198,0.008,0.0,0.0,0.0
2019-09-03 03:00:00,52,12.113,0.008,0.0,0.0,0.0
2019-09-03 04:00:00,53,11.855,0.008,1.587,5.096,0.0
2019-09-03 05:00:00,54,12.19,0.009,57.28,144.749,1156.879
