Time_solar,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW),timestamp,hour,Date - Time ,Time_wind,Air Density,Wind Speed ,Power Generation ,clearness_index_kt,wind_power_coefficient_cp,complementarity_index,total_renewable_power,renewable_capacity_factor,solar_efficiency,wind_power_per_speed,day_of_week,day_of_year,month,week_of_year,hour_sin,hour_cos,day_sin,day_cos,solar_lag_1,solar_lag_2,solar_lag_3,solar_lag_6,solar_lag_12,solar_lag_24,wind_lag_1,wind_lag_2,wind_lag_3,wind_lag_6,wind_lag_12,wind_lag_24,solar_rolling_mean_6h,solar_rolling_std_6h,wind_rolling_mean_6h,wind_rolling_std_6h,solar_rate_of_change,solar_volatility,wind_rate_of_change,wind_volatility,total_rate_of_change,total_volatility
11,17.679,0.006,697.486,1160.613,3577.048,2019-06-01 10:00:00,10.0,,11,1.155,6.671,1499.74,0.5891641982675072,0.593,0.46732950200467616,5076.788,0.6131643438905996,1.0,224.81483663396241,5,152,6,22,0.49999999999999994,-0.8660254037844387,0.5012418134457758,-0.865307254363206,3523.963,3269.984,2463.576,123.096,,,1427.225,1139.637,506.351,610.292,,,2418.1073333333334,1315.3647488154252,802.8473333333333,633.96467771404,53.08499999999958,53.08499999999958,72.5150000000001,72.5150000000001,125.59999999999945,125.59999999999945
12,18.161,0.006,690.683,1187.036,3417.618,2019-06-01 11:00:00,11.0,,12,1.158,6.812,1582.685,0.5230780230963037,0.593,0.5263736019191265,5000.303,0.60392663791539,1.0,232.3377521524145,5,152,6,22,0.258819045102521,-0.9659258262890682,0.5012418134457758,-0.865307254363206,3577.048,3523.963,3269.984,414.23,,,1499.74,1427.225,1139.637,175.843,,,2918.672,908.9586794540223,1037.3210000000001,615.5811909274031,-159.42999999999984,159.42999999999984,82.94499999999994,82.94499999999994,-76.48499999999967,76.48499999999967
13,18.427,0.006,656.784,1157.468,3234.215,2019-06-01 12:00:00,12.0,,13,1.161,6.824,1593.342,0.48045647367925637,0.593,0.5743193606382606,4827.557000000001,0.5830627200701451,1.0,233.49088020356388,5,152,6,22,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206,3417.618,3577.048,3523.963,1259.843,0.0,,1582.685,1499.74,1427.225,68.288,1042.746,,3247.734,407.232694983593,1291.4966666666667,418.8564893414765,-183.4029999999998,183.4029999999998,10.657000000000153,10.657000000000153,-172.74599999999919,172.74599999999919
14,18.546,0.006,591.716,1073.917,3046.396,2019-06-01 13:00:00,13.0,,14,1.164,6.737,1541.439,0.4481269055622513,0.593,0.6086146941581829,4587.835,0.5541095743319062,1.0,228.80195505388824,5,152,6,22,-0.2588190451025208,-0.9659258262890683,0.5012418134457758,-0.865307254363206,3234.215,3417.618,3577.048,2463.576,0.0,,1593.342,1582.685,1499.74,506.351,1013.124,,3344.8706666666662,199.104178023131,1464.0113333333331,170.09020203017673,-187.81899999999996,187.81899999999996,-51.90300000000002,51.90300000000002,-239.72200000000066,239.72200000000066
15,18.388,0.006,490.91,942.139,2610.458,2019-06-01 14:00:00,14.0,,15,1.167,6.437,1356.278,0.4146701103269484,0.593,0.672969291141838,3966.736,0.47909447407045985,1.0,210.70029350624614,5,152,6,22,-0.4999999999999997,-0.8660254037844388,0.5012418134457758,-0.865307254363206,3046.396,3234.215,3417.618,3269.984,0.0,,1541.439,1593.342,1582.685,1139.637,897.527,,3234.949666666667,363.1722905733127,1500.1181666666664,92.97195990064048,-435.9380000000001,435.9380000000001,-185.16100000000006,185.16100000000006,-621.0990000000002,621.0990000000002
16,17.722,0.007,374.816,771.054,1546.145,2019-06-01 15:00:00,15.0,,16,1.17,5.664,930.716,0.38776142651503764,0.593,0.836331349346765,2476.861,0.2991503387522218,1.0,164.3212986720871,5,152,6,22,-0.7071067811865471,-0.7071067811865479,0.5012418134457758,-0.865307254363206,2610.458,3046.396,3234.215,3523.963,0.0,,1356.278,1541.439,1593.342,1427.225,774.162,,2905.313333333333,745.1231287500522,1417.3666666666668,253.39197926664215,-1064.313,1064.313,-425.562,425.562,-1489.875,1489.875
17,16.75,0.007,260.422,572.392,716.79,2019-06-01 16:00:00,16.0,,17,1.173,4.813,561.614,0.38101243543377855,0.593,0.9547944318905567,1278.404,0.15440308909631803,1.0,116.68686542969762,5,152,6,22,-0.8660254037844385,-0.5000000000000004,0.5012418134457758,-0.865307254363206,1546.145,2610.458,3046.396,3577.048,123.096,,930.716,1356.278,1541.439,1499.74,610.292,,2428.6036666666664,1072.4678704160171,1261.0123333333333,424.2368845193292,-829.355,829.355,-369.102,369.102,-1198.4569999999999,1198.4569999999999
18,15.777,0.008,146.29,359.662,674.14,2019-06-01 17:00:00,17.0,,18,1.175,4.665,506.234,0.41347560710589876,0.593,0.9523078535976535,1180.374,0.1425632209293598,1.0,108.51744726314098,5,152,6,22,-0.9659258262890683,-0.25881904510252063,0.5012418134457758,-0.865307254363206,716.79,1546.145,2610.458,3417.618,414.23,,561.614,930.716,1356.278,1582.685,175.843,,1971.3573333333334,1148.6065310111499,1081.6038333333333,484.35054241506424,-42.64999999999998,42.64999999999998,-55.38000000000005,55.38000000000005,-98.02999999999997,98.02999999999997
19,13.277,0.008,47.528,147.991,334.938,2019-06-01 18:00:00,18.0,,19,1.177,4.577,473.637,1.0,0.593,0.9713448763587176,808.575,0.09765807817095015,1.0,103.48195248373334,5,152,6,22,-1.0,-1.8369701987210297e-16,0.5012418134457758,-0.865307254363206,674.14,716.79,1546.145,3234.215,1259.843,,506.234,561.614,930.716,1593.342,68.288,,1488.1445,1120.586963146324,894.9863333333334,462.9834578170879,-339.202,339.202,-32.59699999999998,32.59699999999998,-371.799,371.799
20,11.308,0.007,3.465,14.224,0.0,2019-06-01 19:00:00,19.0,,20,1.179,2.859,67.803,0.0,0.593,0.9840199162463784,67.803,0.008189111305970297,0.0,23.715626542278226,5,152,6,22,-0.9659258262890684,0.2588190451025203,0.5012418134457758,-0.865307254363206,334.938,674.14,716.79,3046.396,2463.576,,473.637,506.234,561.614,1541.439,506.351,,980.4118333333332,950.6047823036489,649.3803333333334,441.85196261855356,-334.938,334.938,-405.834,405.834,-740.772,740.772
21,11.14,0.007,0.0,0.002,0.0,2019-06-01 20:00:00,20.0,,21,1.18,3.666,210.35,0.0,0.593,0.9504238659414141,210.35,0.025405654074463546,0.0,57.37859864195345,5,152,6,22,-0.8660254037844386,0.5000000000000001,0.5012418134457758,-0.865307254363206,0.0,334.938,674.14,2610.458,3269.984,,67.803,473.637,506.234,1356.278,1139.637,,545.3355,580.8021389780699,458.3923333333333,300.1168472223244,0.0,0.0,142.547,142.547,142.547,142.547
22,10.346,0.007,0.0,0.0,0.0,2019-06-01 21:00:00,21.0,,22,1.18,7.117,1783.851,0.0,0.593,0.5795748214093539,1783.851,0.21544997112615105,0.0,250.64644504054448,5,152,6,22,-0.7071067811865477,0.7071067811865474,0.5012418134457758,-0.865307254363206,0.0,0.0,334.938,1546.145,3523.963,,210.35,67.803,473.637,930.716,1427.225,,287.64466666666664,341.75996897628016,600.5815,610.3761276749781,0.0,0.0,1573.5010000000002,1573.5010000000002,1573.5010000000002,1573.5010000000002
23,9.663,0.007,0.0,0.0,0.0,2019-06-01 22:00:00,22.0,,23,1.174,8.248,2551.613,0.0,0.593,0.39862558519785907,2551.613,0.3081787364388122,0.0,309.36138344309126,5,152,6,22,-0.5000000000000004,0.8660254037844384,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,716.79,3577.048,,1783.851,210.35,67.803,561.614,1499.74,,168.17966666666666,281.7594015337696,932.2479999999999,1000.7781503190407,0.0,0.0,767.7619999999997,767.7619999999997,767.7619999999997,767.7619999999997
24,9.58,0.007,0.0,0.0,0.0,2019-06-01 23:00:00,23.0,,24,1.167,8.724,2871.287,0.0,0.593,0.32328353110209307,2871.287,0.34678832550750754,0.0,329.1250195867699,5,152,6,22,-0.25881904510252157,0.9659258262890681,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,674.14,3417.618,,2551.613,1783.851,210.35,506.234,1582.685,,55.823,136.73786591139043,1326.4235,1237.2487944874708,0.0,0.0,319.674,319.674,319.674,319.674
25,9.353,0.007,0.0,0.0,0.0,2019-06-02 00:00:00,0.0,,25,1.16,8.961,3025.921,0.0,0.593,0.28683876802144015,3025.921,0.3654647120639639,0.0,337.67667250567206,6,153,6,22,0.0,1.0,0.48627270710868997,-0.8738071036110808,0.0,0.0,0.0,334.938,3234.215,0.0,2871.287,2551.613,1783.851,473.637,1593.342,1042.746,0.0,0.0,1751.8041666666666,1321.3082581884385,0.0,0.0,154.63400000000001,154.63400000000001,154.63400000000001,154.63400000000001
26,9.248,0.007,0.0,0.0,0.0,2019-06-02 01:00:00,1.0,,26,1.154,9.299,3237.726,0.0,0.593,0.2369197137106306,3237.726,0.3910460981407015,0.0,348.1799819141863,6,153,6,22,0.25881904510252074,0.9659258262890683,0.48627270710868997,-0.8738071036110808,0.0,0.0,0.0,0.0,3046.396,0.0,3025.921,2871.287,2551.613,67.803,1541.439,1013.124,0.0,0.0,2280.1246666666666,1133.723601845293,0.0,0.0,211.8050000000003,211.8050000000003,211.8050000000003,211.8050000000003
27,9.366,0.007,0.0,0.0,0.0,2019-06-02 02:00:00,2.0,,27,1.15,9.05,3088.771,0.0,0.593,0.27202602722951175,3088.771,0.3730556098941519,0.0,341.30062527064916,6,153,6,22,0.49999999999999994,0.8660254037844387,0.48627270710868997,-0.8738071036110808,0.0,0.0,0.0,0.0,2610.458,0.0,3237.726,3025.921,2871.287,210.35,1356.278,897.527,0.0,0.0,2759.8614999999995,532.1096076944078,0.0,0.0,-148.95499999999993,148.95499999999993,-148.95499999999993,148.95499999999993
