Time,Air Density,Wind Speed ,Power Generation ,timestamp
1,1.166,5.636,916.774,2019-09-01 00:00:00
2,1.16,6.993,1703.133,2019-09-01 01:00:00
3,1.155,7.43,1989.04,2019-09-01 02:00:00
4,1.152,7.637,2135.031,2019-09-01 03:00:00
5,1.149,7.548,2069.01,2019-09-01 04:00:00
6,1.148,6.627,1469.078,2019-09-01 05:00:00
7,1.148,5.005,634.55,2019-09-01 06:00:00
8,1.148,5.209,720.155,2019-09-01 07:00:00
9,1.15,5.626,912.181,2019-09-01 08:00:00
10,1.153,6.342,1297.998,2019-09-01 09:00:00
11,1.157,7.214,1844.279,2019-09-01 10:00:00
12,1.162,8.065,2424.743,2019-09-01 11:00:00
13,1.166,8.521,2736.897,2019-09-01 12:00:00
14,1.169,8.31,2592.654,2019-09-01 13:00:00
15,1.172,7.596,2106.157,2019-09-01 14:00:00
16,1.175,7.209,1840.804,2019-09-01 15:00:00
17,1.178,7.195,1834.598,2019-09-01 16:00:00
18,1.18,6.693,1512.233,2019-09-01 17:00:00
19,1.182,6.067,1140.815,2019-09-01 18:00:00
20,1.185,6.104,1164.582,2019-09-01 19:00:00
21,1.187,6.658,1486.336,2019-09-01 20:00:00
22,1.189,6.624,1468.973,2019-09-01 21:00:00
23,1.188,6.098,1162.442,2019-09-01 22:00:00
24,1.182,6.113,1166.65,2019-09-01 23:00:00
25,1.173,6.109,1164.726,2019-09-02 00:00:00
26,1.166,6.103,1164.528,2019-09-02 01:00:00
27,1.162,6.024,1119.324,2019-09-02 02:00:00
28,1.158,5.891,1046.777,2019-09-02 03:00:00
29,1.156,5.624,911.267,2019-09-02 04:00:00
30,1.155,4.851,573.687,2019-09-02 05:00:00
31,1.154,2.851,66.867,2019-09-02 06:00:00
32,1.155,2.4,25.552,2019-09-02 07:00:00
33,1.156,3.363,146.934,2019-09-02 08:00:00
34,1.158,3.267,128.838,2019-09-02 09:00:00
35,1.162,3.25,125.993,2019-09-02 10:00:00
36,1.165,3.613,199.06,2019-09-02 11:00:00
37,1.168,4.029,304.57,2019-09-02 12:00:00
38,1.171,4.285,380.405,2019-09-02 13:00:00
39,1.173,4.288,381.325,2019-09-02 14:00:00
40,1.176,3.99,291.743,2019-09-02 15:00:00
