timestamp,p_renewable,p_load,p_thermal,p_battery,p_total_gen,frequency,battery_soc,thermal_setpoint,ace,rocof,is_stable,p_vsm,p_agc,p_soc
2019-06-21 17:00:00,1003.874,3586.8595471090307,1004.0498954747272,1056.28255386918,3064.2064493439075,49.66666666666667,0.549270743738659,510.92496377569705,-3.333333333333286,-0.0013888888888888692,True,1005.5555555555412,-2.249999999999969,52.97699831363867
2019-06-21 18:00:00,646.517,3552.753107535756,904.0498954747272,2052.6318548497416,3603.198750324469,49.833333333333336,0.5420685267040987,616.4641908690892,-6.666666666666572,0.0013888888888888692,True,2005.555555555527,-2.194444444444414,49.27074373865903
2019-06-21 19:00:00,630.307,3525.7481260241725,805.5132926908391,1034.3463044818625,2470.1665971727016,49.66666666666667,0.5384392414252149,805.5132926908391,-3.333333333333286,-0.0013888888888888692,True,994.4444444444304,-2.1666666666666368,42.068526704098666
2019-06-21 20:00:00,699.783,3611.36754048901,905.5132926908391,2041.8836858696309,3647.17997856047,49.833333333333336,0.5312747372642689,1133.1396238223433,-6.666666666666572,0.0013888888888888692,True,2005.555555555527,-2.111111111111082,38.43924142521493
2019-06-21 21:00:00,735.162,3643.93598651742,1005.5132926908391,1023.635848375366,2764.311141066205,49.66666666666667,0.5276830325331272,1420.49098651742,-3.333333333333286,-0.0013888888888888692,True,994.4444444444304,-2.0833333333333046,31.274737264268882
2019-06-21 22:00:00,758.001,3504.8345741278786,1105.513292690839,2031.2108103108765,3894.7251030017155,49.833333333333336,0.5205559770583522,1538.7235741278785,-6.666666666666572,0.0013888888888888692,True,2005.555555555527,-2.0277777777777497,27.683032533127204
2019-06-21 23:00:00,817.635,3576.493593080352,1205.513292690839,1013.0004215027826,3036.148714193622,49.66666666666667,0.5170015896144828,1850.967509747019,-3.333333333333286,-0.0013888888888888692,True,994.4444444444304,-1.9999999999999722,20.555977058352216
2019-06-22 00:00:00,782.119,3521.1267757631636,1305.513292690839,2020.6127007255654,4108.244993416405,49.833333333333336,0.50991172048913,2031.5209424298305,-6.666666666666572,0.0013888888888888692,True,2005.555555555527,-1.9444444444444176,17.00158961448284
2019-06-22 01:00:00,660.172,3520.825746023972,1405.513292690839,1002.4394982668938,3068.124790957733,49.66666666666667,0.5063943889162638,2273.0156626906382,-3.333333333333286,-0.0013888888888888692,True,994.4444444444304,-1.91666666666664,9.911720489130026
2019-06-22 02:00:00,504.194,3509.754436205991,1505.513292690839,2010.0888333606797,4019.7961260515185,49.833333333333336,0.499341445641314,2504.970186205991,-6.666666666666572,0.0013888888888888692,True,2005.555555555527,-1.8611111111110854,6.39438891626376
2019-06-22 03:00:00,404.945,3492.0116656026366,1605.513292690839,991.952556752411,3002.4108494432503,49.66666666666667,0.49586091035446345,2699.4756656026366,-3.333333333333286,-0.0013888888888888692,True,994.4444444444304,-1.833333333333308,-0.6585543586860032
2019-06-22 04:00:00,1166.225,3521.6154599898223,1705.513292690839,1999.6386881322126,4871.376980823052,49.833333333333336,0.488844634255754,2787.537626656489,-6.666666666666572,0.0013888888888888692,True,2005.555555555527,-1.7777777777777533,-4.139089645536553
2019-06-22 05:00:00,1981.2089999999998,3479.522609176228,1805.513292690839,981.5390787001843,4768.261371391023,50.0,0.4854006374883849,2664.000192509561,-3.333333333333286,0.0013888888888888692,True,994.4444444444304,-1.7499999999999758,-11.155365744246026
2019-06-22 06:00:00,2686.527,3516.648152829368,1905.513292690839,-21.90491806717054,4570.135374623668,50.166666666666664,0.4854700030622643,2531.124902829368,0.0,0.0013888888888888692,True,-5.555555555555477,-1.7499999999999758,-14.599362511615087
2019-06-22 07:00:00,2503.866,3496.8733961928097,2005.513292690839,-1021.8633302710547,3487.5159624197845,50.0,0.48870590360812255,2355.220229526143,3.333333333333286,-0.0013888888888888692,True,-1005.5555555555412,-1.7777777777777533,-14.529996937735712
